event 0 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': 11, 'truth_pdg': 13, 'shared_hits': 2, 'purity': 0.5}
event 0 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 12, 'truth_pdg': -13, 'shared_hits': 129, 'purity': 0.9485294117647058}
event 0 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 115, 'purity': 0.9426229508196722}
event 0 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 11, 'truth_pdg': 13, 'shared_hits': 123, 'purity': 0.9461538461538461}
event 1 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': 14, 'truth_pdg': 11, 'shared_hits': 1, 'purity': 1.0}
event 1 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 114, 'purity': 0.9421487603305785}
event 1 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 12, 'truth_pdg': -13, 'shared_hits': 119, 'purity': 0.9444444444444444}
event 1 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 11, 'truth_pdg': 13, 'shared_hits': 113, 'purity': 0.9416666666666667}
event 1 {'track_index': 4, 'track_id': (842966429, 4), 'truth_index': 11, 'truth_pdg': 13, 'shared_hits': 14, 'purity': 0.875}
event 1 {'track_index': 5, 'track_id': (842966429, 5), 'truth_index': 11, 'truth_pdg': 13, 'shared_hits': 4, 'purity': 1.0}
event 2 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': 6, 'truth_pdg': 13, 'shared_hits': 4, 'purity': 0.2222222222222222}
event 2 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 7, 'truth_pdg': -13, 'shared_hits': 114, 'purity': 0.9421487603305785}
event 2 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 6, 'truth_pdg': 13, 'shared_hits': 113, 'purity': 0.9416666666666667}
event 2 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 117, 'purity': 0.9435483870967742}
event 3 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 3 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 12, 'truth_pdg': -13, 'shared_hits': 68, 'purity': 0.9066666666666666}
event 3 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 11, 'truth_pdg': 13, 'shared_hits': 58, 'purity': 0.90625}
event 3 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 114, 'purity': 0.9421487603305785}
event 4 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 1, 'purity': 1.0}
event 4 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 6, 'truth_pdg': 13, 'shared_hits': 122, 'purity': 0.9457364341085271}
event 4 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 7, 'truth_pdg': -13, 'shared_hits': 120, 'purity': 0.9523809523809523}
event 4 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 113, 'purity': 0.9416666666666667}
event 5 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 1, 'purity': 1.0}
event 5 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 8, 'truth_pdg': 13, 'shared_hits': 125, 'purity': 0.946969696969697}
event 5 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 9, 'truth_pdg': -13, 'shared_hits': 124, 'purity': 0.9465648854961832}
event 5 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 113, 'purity': 0.9416666666666667}
event 6 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 6 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 8, 'truth_pdg': 13, 'shared_hits': 113, 'purity': 0.9495798319327731}
event 6 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 10, 'truth_pdg': -13, 'shared_hits': 113, 'purity': 0.9416666666666667}
event 6 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 114, 'purity': 0.9421487603305785}
event 6 {'track_index': 4, 'track_id': (842966429, 4), 'truth_index': 9, 'truth_pdg': 22, 'shared_hits': 11, 'purity': 1.0}
event 7 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 7 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 8, 'truth_pdg': 13, 'shared_hits': 112, 'purity': 0.9411764705882353}
event 7 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 0, 'truth_pdg': 11, 'shared_hits': 113, 'purity': 0.9416666666666667}
event 7 {'track_index': 3, 'track_id': (842966429, 3), 'truth_index': 9, 'truth_pdg': -13, 'shared_hits': 103, 'purity': 0.9279279279279279}
