event 0 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 0 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 125, 'purity': 0.9615384615384616}
event 0 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 1 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 1 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 158, 'purity': 0.9575757575757575}
event 2 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 123, 'purity': 0.9461538461538461}
event 3 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 3 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 128, 'purity': 0.9343065693430657}
event 4 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 4 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 151, 'purity': 0.9556962025316456}
event 5 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 5 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 126, 'purity': 0.9473684210526315}
event 6 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 6 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 122, 'purity': 0.9457364341085271}
event 7 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 7 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 130, 'purity': 0.948905109489051}
event 8 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 8 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 127, 'purity': 0.9477611940298507}
event 8 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 9 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 9 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 119, 'purity': 0.9444444444444444}
event 10 {'track_index': 0, 'track_id': (842966429, 0), 'truth_index': None, 'truth_pdg': None, 'shared_hits': 0, 'purity': 0.0}
event 10 {'track_index': 1, 'track_id': (842966429, 1), 'truth_index': 2, 'truth_pdg': 22, 'shared_hits': 5, 'purity': 1.0}
event 10 {'track_index': 2, 'track_id': (842966429, 2), 'truth_index': 0, 'truth_pdg': 13, 'shared_hits': 122, 'purity': 0.976}
