theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
10,delta_pt_over_pt,0.127742936901709,0.13793365042926117,0.1327405348919745,120,-0.0454108307999917,0.04314764699452625,0.044279238897258974,0.13974337864161857,0.044279238897258974,0.005158696072780201
10,delta_pt_over_pt,0.14893732978270904,0.16081882944278028,0.15476410125086698,141,-0.038197811813073905,0.03199888739727134,0.03509834960517262,0.04319985302096433,0.03509834960517262,0.0032766649862645534
10,delta_pt_over_pt,0.16081882944278028,0.17364817766693033,0.167110432550657,160,-0.0435986679032349,0.043813637695087254,0.043706152799161076,0.09540329102392293,0.043706152799161076,0.00472686058283054
10,delta_pt_over_pt,0.17364817766693033,0.18750098922822062,0.1804416944340394,143,-0.03360367171788698,0.03578543295779015,0.034694552337838566,0.07569194079882352,0.034694552337838566,0.003822829032597052
10,delta_pt_over_pt,0.18750098922822062,0.2024589110805081,0.19483645989820186,146,-0.04028422270027589,0.03890269475707492,0.0395934587286754,0.12321236693951224,0.0395934587286754,0.003336754549611251
10,delta_pt_over_pt,0.2024589110805081,0.21861010357664704,0.21037957011393726,165,-0.03025401999806883,0.04178651034436279,0.03602026517121581,0.03829188644467298,0.03602026517121581,0.0027464355834756083
10,delta_pt_over_pt,0.21861010357664704,0.2360497600759514,0.2271626344702104,197,-0.03381891392604819,0.0375779765671475,0.03569844524659785,0.18265937300790985,0.03569844524659785,0.002308346026743049
10,delta_pt_over_pt,0.2360497600759514,0.2548806680034274,0.2452845705098616,183,-0.03092014645263477,0.03382981726833816,0.032374981860486464,0.12529019375868786,0.032374981860486464,0.0023783522436426076
10,delta_pt_over_pt,0.2548806680034274,0.2752138146675958,0.26485218693876833,181,-0.03989077240215928,0.0430361344405372,0.041463453421348245,0.16819764190635902,0.041463453421348245,0.004053525716265062
10,delta_pt_over_pt,0.2752138146675958,0.29716904140753153,0.28598081314465745,205,-0.03698227358097768,0.032714044754066744,0.03484815916752221,0.091416477729131,0.03484815916752221,0.0028404831109976407
10,delta_pt_over_pt,0.29716904140753153,0.3208757499245872,0.3087949789358829,209,-0.03157023821745245,0.03885256525866947,0.03521140173806096,0.15314411146924964,0.03521140173806096,0.002446695744104629
10,delta_pt_over_pt,0.3208757499245872,0.34647366496184673,0.33342914850647465,217,-0.036380964611608176,0.03217156843015084,0.034276266520879506,0.11455607184060279,0.034276266520879506,0.002316488394228633
10,delta_pt_over_pt,0.34647366496184673,0.37411365782645445,0.36002851295336863,236,-0.029875854020673345,0.03664686685909225,0.0332613604398828,0.16170855969628875,0.0332613604398828,0.0026051549756017645
