theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
46,delta_d0_um_vs_pt,0.35841850172495493,0.3825661908650276,0.37029555889919386,125,-96.3378632068634,92.283955514431,94.3109093606472,122033.5662627695,94.3109093606472,15.799777291297877
46,delta_d0_um_vs_pt,0.3825661908650276,0.40834077953176884,0.39524343966766207,146,-66.47405922412872,112.48596757650375,89.48001340031624,42351.73443767145,89.48001340031624,12.471122656813971
46,delta_d0_um_vs_pt,0.40834077953176884,0.4358518766428072,0.42187213118278893,176,-34.41566973924637,66.50552153587341,50.46059563755989,17108.96288521949,50.46059563755989,4.2749311606936535
46,delta_d0_um_vs_pt,0.4358518766428072,0.4652164757849699,0.450294874516724,246,-55.366661399602876,65.01010358333585,60.18838249146936,522.6857607068521,60.18838249146936,4.73719512804474
46,delta_d0_um_vs_pt,0.4652164757849699,0.49655945274076413,0.4806325401195508,272,-38.14033165574074,52.37491562962532,45.25762364268303,170.41045327489314,45.25762364268303,2.7510837578039973
46,delta_d0_um_vs_pt,0.49655945274076413,0.5300140965346555,0.5130141418325026,326,-39.25146162509918,48.61246049404144,43.93196105957031,86345.2000420175,43.93196105957031,2.6403811240434067
46,delta_d0_um_vs_pt,0.5300140965346555,0.5657226762574646,0.5475773855317324,369,-39.28594306111336,31.35538876056671,35.320665910840034,75981.13237639499,35.320665910840034,1.7575414804965859
46,delta_d0_um_vs_pt,0.5657226762574646,0.6038370460793618,0.5844692547357976,398,-31.33109822869301,35.74037939310071,33.53573881089686,65198.773094382275,33.53573881089686,2.0724710617973163
46,delta_d0_um_vs_pt,0.6038370460793618,0.644519291024333,0.6238466356672109,415,-28.774942457675934,29.24180150032043,29.008371978998184,175.9840169210282,29.008371978998184,2.0402068645470015
46,delta_d0_um_vs_pt,0.644519291024333,0.6879424162523352,0.6658769844261939,513,-25.34795194864273,30.89945204555988,28.123701997101307,75807.59615741535,28.123701997101307,1.3738079065323685
46,delta_d0_um_vs_pt,0.6879424162523352,0.7342910827803812,0.7107390391138502,527,-19.708981066942215,31.17297545075415,25.440978258848183,4890.390484195405,25.440978258848183,1.0802946293460824
46,delta_d0_um_vs_pt,0.7342910827803812,0.7837623927712781,0.758623579933134,557,-20.567281246185303,27.01852053403853,23.792900890111916,122025.7461869335,23.792900890111916,1.194545467320487
46,delta_d0_um_vs_pt,0.7837623927712781,0.8365667277295331,0.8097342405000156,602,-20.05838356912136,21.80489629507064,20.931639932096,60018.181363016345,20.931639932096,0.9826679722014978
46,delta_d0_um_vs_pt,0.8365667277295331,0.8929286431689394,0.8642883738150199,658,-19.16652485728264,23.522954657673836,21.344739757478237,101376.69186371846,21.344739757478237,0.8542299434928787
46,delta_d0_um_vs_pt,0.8929286431689394,0.9530878235564991,0.9225179765777696,672,-16.173915192484856,20.992282181978222,18.58309868723154,5035.311088316952,18.58309868723154,0.7845729179958372
46,delta_d0_um_vs_pt,0.9530878235564991,1.0173001015936747,0.9846706757752669,732,-16.787473484873768,20.434658303856843,18.611065894365304,1321.53646230793,18.611065894365304,0.7617318074720298
46,delta_d0_um_vs_pt,1.0173001015936747,1.0858385461695623,1.0510107817394758,802,-17.065792828798294,20.71290262043476,18.889347724616528,50326.37604898735,18.889347724616528,0.7552654734820149
46,delta_d0_um_vs_pt,1.0858385461695623,1.1589946236126074,1.1218204121524322,835,-13.319849818944931,19.460698589682575,16.390274204313755,4579.658075301485,16.390274204313755,0.6496939607901459
46,delta_d0_um_vs_pt,1.1589946236126074,1.2370794371792064,1.1974006917788258,937,-14.277632161974907,17.594199627637863,15.935915894806385,76266.91182439898,15.935915894806385,0.42331632882120085
46,delta_d0_um_vs_pt,1.2370794371792064,1.320425050050228,1.2780730330280274,948,-14.24713172018528,16.029053404927254,15.138092562556267,81.48198002941105,15.138092562556267,0.722355649557753
46,delta_d0_um_vs_pt,1.320425050050228,1.4093858974616318,1.3641805027912768,1046,-12.43407391011715,15.510446019470685,13.972259964793917,85467.6633010665,13.972259964793917,0.43514652641487844
46,delta_d0_um_vs_pt,1.4093858974616318,1.5043402939744064,1.4560892813666384,1145,-11.285130269825459,14.25279941409826,12.768964841961859,83967.82817394688,12.768964841961859,0.4071987146414202
46,delta_d0_um_vs_pt,1.5043402939744064,1.605692042293626,1.5541902196759438,1227,-11.680750288069248,13.128800243139265,12.404775265604258,50435.043652007116,12.404775265604258,0.36659412270948805
46,delta_d0_um_vs_pt,1.605692042293626,1.7138721504783012,1.6589005013959313,1249,-10.326360501348972,13.214025273919102,11.770192887634037,60639.38795832641,11.770192887634037,0.27233440587958263
46,delta_d0_um_vs_pt,1.7138721504783012,1.829340664844608,1.7706654170719645,1318,-10.401661545038223,12.97726809978485,11.689464822411537,41488.927070237056,11.689464822411537,0.37626111941483603
46,delta_d0_um_vs_pt,1.829340664844608,1.9525886263570973,1.8899602577589065,1439,-10.781517960131168,11.17893375456332,10.980225857347243,39315.50122082836,10.980225857347243,0.3322188820534994
46,delta_d0_um_vs_pt,1.9525886263570973,2.0841401588276383,2.017292336242053,1559,-9.292938187718391,10.596131421625616,9.944534804672003,97346.23302551062,9.944534804672003,0.3158535663226706
46,delta_d0_um_vs_pt,2.0841401588276383,2.224554697802336,2.1532031444335504,1657,-9.107003435492517,11.118408180773255,10.112705808132887,70494.10546023292,10.112705808132887,0.3217289448438989
