theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
46,delta_z0_um,0.49826035144478104,0.5318295896944989,0.5147714038968314,127,-108.95211964845657,41.87385320663451,75.41298642754555,1117.9815380772147,75.41298642754555,23.503060875342936
46,delta_z0_um,0.5318295896944989,0.5676604844324338,0.5494530394141812,142,-169.97930943965915,24.31241907179355,97.14586425572635,48150.99271426061,97.14586425572635,22.276648906341933
46,delta_z0_um,0.5676604844324338,0.6059054099851234,0.5864712768349253,179,-69.58625227212906,26.590926572680445,48.08858942240475,3634.2406614585075,48.08858942240475,3.729612229870065
46,delta_z0_um,0.6059054099851234,0.6467270065773576,0.6259835397745739,234,-73.69943112134933,20.278634056448936,46.989032588899136,650.9787175821673,46.989032588899136,5.317039230497291
46,delta_z0_um,0.6467270065773576,0.6902988719753775,0.6681578579320627,280,-53.22148144245148,14.445400685071936,33.833441063761704,160.90122377780037,33.833441063761704,3.2552215663258885
46,delta_z0_um,0.6902988719753775,0.7368062997280774,0.7131735816522117,335,-47.26454973220825,12.421085573732855,29.842817652970552,5870.927268249107,29.842817652970552,1.5272666551679428
46,delta_z0_um,0.7368062997280774,0.786447067145643,0.7612221446303176,364,-44.02186796069145,11.519362740218652,27.770615350455053,2283.7332745998388,27.770615350455053,1.677218153041902
46,delta_z0_um,0.786447067145643,0.8394322763665895,0.8125078780023582,388,-40.87797671556473,10.37111271172761,25.62454471364617,31626.2082192904,25.62454471364617,1.8620925415840073
46,delta_z0_um,0.8394322763665895,0.8959872520899107,0.8672488792828037,423,-36.520167887210846,9.948314167559143,23.234241027384996,79.50811504195262,23.234241027384996,1.3445065243478564
46,delta_z0_um,0.8959872520899107,0.9563524997900372,0.9256779398452749,509,-31.39775514602661,13.302474282681933,22.350114714354273,5618.129877049445,22.350114714354273,1.2114800957867504
46,delta_z0_um,0.9563524997900372,1.0207847284895002,0.9880435348902536,538,-28.720573261380196,7.864017598330972,18.292295429855585,3802.5822849304477,18.292295429855585,1.137890716868207
46,delta_z0_um,1.0207847284895002,1.0895579424387447,1.0546108801097742,548,-28.746451511979103,7.9920516535639745,18.36925158277154,27007.316620546873,18.36925158277154,1.1865421546707848
46,delta_z0_um,1.0895579424387447,1.16296460634556,1.1256630595426649,606,-25.363926589488983,7.22387908026576,16.293902834877372,312.22575195697726,16.293902834877372,0.7764173691064444
46,delta_z0_um,1.16296460634556,1.2413168891093835,1.201502229416654,648,-26.16846337914467,7.133900821208955,16.65118210017681,1363.71974236751,16.65118210017681,0.7563158722672216
46,delta_z0_um,1.2413168891093835,1.3249479913495736,1.2824509030967925,686,-23.264597728848457,6.5807624720036975,14.922680100426078,685.6930748935096,14.922680100426078,0.4627582484537223
46,delta_z0_um,1.3249479913495736,1.4142135623730951,1.368853322604565,727,-21.30993887782097,6.670921761542559,13.990430319681764,401.5956832534587,13.990430319681764,0.6053335855920354
46,delta_z0_um,1.4142135623730951,1.5094932126074085,1.4610769225401965,793,-21.08486659824848,5.196470506489276,13.14066855236888,1541.7434813511377,13.14066855236888,0.6259058044933662
46,delta_z0_um,1.5094932126074085,1.6111921279303265,1.5595138926336358,846,-18.889879062771797,6.546344514936209,12.718111788854003,743.6305118515446,12.718111788854003,0.4241517613689673
46,delta_z0_um,1.6111921279303265,1.7197427927619378,1.664582845569108,937,-18.663052543997765,5.773393344134093,12.218222944065928,2022.715960041305,12.218222944065928,0.5046862678798351
46,delta_z0_um,1.7197427927619378,1.8356068292462027,1.7767305971758212,957,-17.555423453450203,4.483324363827705,11.019373908638954,80.21514632669218,11.019373908638954,0.34501399828060647
46,delta_z0_um,1.8356068292462027,1.9592769603435267,1.8964340665552597,1049,-15.564760491251945,4.596361257135862,10.080560874193903,40996.22480382339,10.080560874193903,0.3467461899784162
46,delta_z0_um,1.9592769603435267,2.0912791051825472,2.0242023042255415,1140,-15.645783096551895,4.428444597870111,10.037113847211003,24611.246114265265,10.037113847211003,0.3183991088536435
46,delta_z0_um,2.0912791051825472,2.2321746155818123,2.160578656907711,1228,-14.522611908614635,4.256624411791567,9.389618160203101,1170.4353736502405,9.389618160203101,0.3532220193912653
