theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
46,delta_p_over_p,0.5011872336272722,0.5411695265464637,0.5207948328595463,162,-0.0029749154755083704,0.0018934141328302402,0.0024341648041693053,0.01977659163503912,0.0024341648041693053,0.00027660999012381874
46,delta_p_over_p,0.5411695265464637,0.5843414133735175,0.5623413251903491,215,-0.0008166482721925991,0.001583442529259083,0.001200045400725841,0.0034837206456483426,0.001200045400725841,0.00012998466617775996
46,delta_p_over_p,0.5843414133735175,0.6309573444801934,0.6072021956909885,231,-0.0009361618898262892,0.0015453840688766692,0.0012407729793514793,0.0028485608288278488,0.0012407729793514793,8.613215020699864e-05
46,delta_p_over_p,0.6309573444801934,0.6812920690579614,0.655641849417979,264,-0.0007884198558225197,0.0016427755533976588,0.0012155977046100891,0.050100322952457324,0.0012155977046100891,0.00014676855974250536
46,delta_p_over_p,0.6812920690579614,0.7356422544596414,0.7079457843841379,330,-0.0010175938916787463,0.0015500152308505686,0.0012838045612646575,0.028661835714209542,0.0012838045612646575,0.00017770609373304687
46,delta_p_over_p,0.7356422544596414,0.7943282347242815,0.7644222742526002,398,-0.0008728741918086335,0.0015291376058041706,0.001201005898806402,0.002565348733175016,0.001201005898806402,9.646964621469116e-05
46,delta_p_over_p,0.7943282347242815,0.8576958985908941,0.8254041852680184,413,-0.0004803910593502541,0.0014814031535891254,0.0009808971064696897,0.003982087768495085,0.0009808971064696897,9.351136378214603e-05
46,delta_p_over_p,0.8576958985908941,0.9261187281287935,0.8912509381337456,526,-0.0008500346824579769,0.0013613633812000901,0.0011056990318290335,0.003341888630391746,0.0011056990318290335,7.182961835482173e-05
46,delta_p_over_p,0.9261187281287935,1.0,0.9623506263980885,689,-0.0007744450076608983,0.0014814518095545499,0.0011279484086077242,0.0017755726674631759,0.0011279484086077242,5.318826574297496e-05
46,delta_p_over_p,1.0,1.0797751623277094,1.0391223038351691,665,-0.0006494176632518475,0.0015034169556430257,0.0010764173094474365,0.002426142462457973,0.0010764173094474365,4.2570280476338587e-05
