theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
10,delta_d0_um,0.9563524997900372,1.0207847284895002,0.9880435348902536,134,-296.363183259964,537.952094078064,417.157638669014,471.5164907331772,417.157638669014,36.43421480415163
10,delta_d0_um,1.0207847284895002,1.0895579424387447,1.0546108801097742,120,-369.68499541282654,282.12329506874084,325.9041452407837,725.0174055772146,325.9041452407837,34.13121887546806
10,delta_d0_um,1.0895579424387447,1.16296460634556,1.1256630595426649,143,-358.8403856754303,336.0953104496002,347.46784806251526,645.1646574714267,347.46784806251526,28.913289544546362
10,delta_d0_um,1.16296460634556,1.2413168891093835,1.201502229416654,146,-366.6747808456421,300.9642601013183,333.8195204734802,332.66384050489944,333.8195204734802,33.95015864167997
10,delta_d0_um,1.3249479913495736,1.4142135623730951,1.368853322604565,125,-239.46399331092834,339.312275648117,289.3881344795227,1577.7463378522345,289.3881344795227,25.503814671410172
10,delta_d0_um,1.4142135623730951,1.5094932126074085,1.4610769225401965,133,-211.37437343597412,249.9504852294922,230.66242933273315,255.0696753594502,230.66242933273315,20.664138454448345
10,delta_d0_um,1.5094932126074085,1.6111921279303265,1.5595138926336358,130,-201.1488914489746,310.5515789985657,255.85023522377014,540.9738536392191,255.85023522377014,35.66427957932985
10,delta_d0_um,1.6111921279303265,1.7197427927619378,1.664582845569108,135,-218.70981156826016,209.15056884288788,213.93019020557404,452.0376395672803,213.93019020557404,21.239156048596914
10,delta_d0_um,1.7197427927619378,1.8356068292462027,1.7767305971758212,160,-187.50069916248322,297.57945537567144,242.54007726907733,255.39559523727846,242.54007726907733,20.552661341962704
10,delta_d0_um,1.8356068292462027,1.9592769603435267,1.8964340665552597,157,-144.64569211006165,254.22321915626523,199.43445563316345,285.5122456846991,199.43445563316345,25.943904937513878
10,delta_d0_um,1.9592769603435267,2.0912791051825472,2.0242023042255415,194,-222.93339490890503,230.54553151130676,226.7394632101059,483.18781001988174,226.7394632101059,18.947685234715014
10,delta_d0_um,2.0912791051825472,2.2321746155818123,2.160578656907711,186,-161.81814670562744,179.08082902431488,170.44948786497116,257.36614313054895,170.44948786497116,13.163363986708864
10,delta_d0_um,2.2321746155818123,2.382562663252393,2.306143078159937,193,-180.29285490512848,180.7782506942749,180.5355527997017,239.01724030071148,180.5355527997017,16.531482475904518
10,delta_d0_um,2.382562663252393,2.543082787833219,2.4615145946858075,198,-168.89565706253052,137.89365947246552,153.39465826749802,354.9519954661658,153.39465826749802,14.401610114305866
10,delta_d0_um,2.543082787833219,2.7144176165949068,2.6273539388049296,187,-145.872688293457,135.66635906696317,140.76952368021009,261.83961771236716,140.76952368021009,10.875897791026015
10,delta_d0_um,2.7144176165949068,2.897295767377901,2.8043663582806784,245,-170.3406673669815,173.74791622161862,172.04429179430008,505.5130757638728,172.04429179430008,13.89891857586457
10,delta_d0_um,2.897295767377901,3.092494947109918,2.993304615454149,229,-137.9139083623886,134.48877453804013,136.2013414502144,162.47853442113748,136.2013414502144,14.207280315950516
10,delta_d0_um,3.092494947109918,3.3008452590794746,3.1949721884384226,235,-135.60038328170776,138.5337495803833,137.06706643104553,377.9917895397429,137.06706643104553,7.99651072627832
10,delta_d0_um,3.3008452590794746,3.5232327330299706,3.4102266879865333,274,-136.8363320827484,151.0264152288437,143.93137365579605,1045.454683511276,143.93137365579605,10.686691840437359
10,delta_d0_um,3.5232327330299706,3.760603093086394,3.6399835045636864,258,-104.71833944320679,102.31678038835526,103.51755991578102,938.1867789376016,103.51755991578102,7.421156047813286
10,delta_d0_um,3.760603093086394,4.013965779538146,3.8852197011332694,268,-122.00356900691988,112.48483091592789,117.24419996142387,396.6748230877305,117.24419996142387,7.315226911011377
10,delta_d0_um,4.013965779538146,4.28439824158096,4.146978168211087,274,-99.70839440822601,102.6212003827095,101.16479739546776,423.3632188054599,101.16479739546776,6.6484080858193
10,delta_d0_um,4.28439824158096,4.573050519273266,4.426372058857601,332,-114.79076951742172,96.14572137594222,105.46824544668198,259.56263272388253,105.46824544668198,7.155051470315545
10,delta_d0_um,4.573050519273266,4.88115013419214,4.724589522468395,332,-98.03869396448135,101.86109244823453,99.94989320635794,882.8686690450138,99.94989320635794,5.3213388590578266
10,delta_d0_um,4.88115013419214,5.2100073095869135,5.042898757493768,359,-100.6222552061081,92.74019151926039,96.68122336268425,417.1034599373819,96.68122336268425,6.864780509868076
10,delta_d0_um,5.2100073095869135,5.5610205422295635,5.382653404574644,374,-84.7107994556427,100.1668158173561,92.4388076364994,421.4108896516183,92.4388076364994,4.900797432530549
