theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
10,delta_theta_rad,0.9563524997900372,1.0207847284895002,0.9880435348902536,134,-0.0033551974647745386,0.002589061446741552,0.0029721294557580455,0.0035163260816613025,0.0029721294557580455,0.00024940457287520284
10,delta_theta_rad,1.0207847284895002,1.0895579424387447,1.0546108801097742,120,-0.0031253116886741884,0.002815643888931946,0.002970477788803067,0.0030617234195511604,0.002970477788803067,0.00028375056621286336
10,delta_theta_rad,1.0895579424387447,1.16296460634556,1.1256630595426649,143,-0.004243050291678582,0.0027900436992797793,0.0035165469954791806,0.23127201083462978,0.0035165469954791806,0.0004219281442247463
10,delta_theta_rad,1.16296460634556,1.2413168891093835,1.201502229416654,146,-0.0034929548420980284,0.002673901885505253,0.0030834283638016408,0.003105195406314581,0.0030834283638016408,0.0003157767918239352
10,delta_theta_rad,1.3249479913495736,1.4142135623730951,1.368853322604565,125,-0.0024068843516234363,0.002606119150915499,0.0025065017512694676,0.002857310442227153,0.0025065017512694676,0.00024067288414480198
10,delta_theta_rad,1.4142135623730951,1.5094932126074085,1.4610769225401965,133,-0.002421021040695408,0.002152686901004731,0.0022868539708500698,0.34462651472078615,0.0022868539708500698,0.00016980692861323694
10,delta_theta_rad,1.5094932126074085,1.6111921279303265,1.5595138926336358,130,-0.0028679547481552043,0.0016852602122482186,0.0022766074802017117,0.34745117982102164,0.0022766074802017117,0.0002163581639837021
10,delta_theta_rad,1.6111921279303265,1.7197427927619378,1.664582845569108,135,-0.0024436912759733596,0.001453073800696555,0.0019483825383349574,0.0022853377079492475,0.0019483825383349574,0.00018964498602842283
10,delta_theta_rad,1.7197427927619378,1.8356068292462027,1.7767305971758212,160,-0.0022033436655086325,0.0017434609599544062,0.0019734023127315195,0.22296317809697774,0.0019734023127315195,0.00013702192189197202
10,delta_theta_rad,1.8356068292462027,1.9592769603435267,1.8964340665552597,157,-0.0018909832378701142,0.0014774349671128639,0.0016842091024914891,0.3168300443278353,0.0016842091024914891,0.0001059756396070171
10,delta_theta_rad,1.9592769603435267,2.0912791051825472,2.0242023042255415,194,-0.0023679074560186497,0.0015146050083149698,0.0019412562321668098,0.19921471729396295,0.0019412562321668098,0.00015441272372986321
10,delta_theta_rad,2.0912791051825472,2.2321746155818123,2.160578656907711,186,-0.001808271623300345,0.0015186553510928293,0.0016634634871965871,0.355545450245961,0.0016634634871965871,0.00010856791611444584
10,delta_theta_rad,2.2321746155818123,2.382562663252393,2.306143078159937,193,-0.0017863916856093154,0.0013911144521870477,0.0015887530688981815,0.2843058922549154,0.0015887530688981815,0.00011393129703405588
10,delta_theta_rad,2.382562663252393,2.543082787833219,2.4615145946858075,198,-0.0012211335149504487,0.0012197952050953097,0.0012204643600228792,0.343847938607195,0.0012204643600228792,6.97835467696495e-05
10,delta_theta_rad,2.543082787833219,2.7144176165949068,2.6273539388049296,187,-0.0014421154818199655,0.0013194131442222045,0.001380764313021085,0.20630976991279126,0.001380764313021085,0.00011101876145268247
10,delta_theta_rad,2.7144176165949068,2.897295767377901,2.8043663582806784,245,-0.0014110159834484215,0.0012001084475439083,0.0013055622154961649,0.17846741103246974,0.0013055622154961649,7.676626928502438e-05
10,delta_theta_rad,2.897295767377901,3.092494947109918,2.993304615454149,229,-0.0013199254202624078,0.0011617137143286314,0.0012408195672955196,0.18602312078092176,0.0012408195672955196,9.674961685563242e-05
10,delta_theta_rad,3.092494947109918,3.3008452590794746,3.1949721884384226,235,-0.0010907121019888832,0.0011811186430656562,0.0011359153725272698,0.0015182155662726616,0.0011359153725272698,8.008944515615491e-05
10,delta_theta_rad,3.3008452590794746,3.5232327330299706,3.4102266879865333,274,-0.0012242626781544608,0.0009621124857199403,0.0010931875819372005,0.24004198689916675,0.0010931875819372005,6.828031666316154e-05
10,delta_theta_rad,3.5232327330299706,3.760603093086394,3.6399835045636864,258,-0.0010248914641976016,0.0007742512902932196,0.0008995713772454105,0.17558326616635864,0.0008995713772454105,7.192221393324737e-05
10,delta_theta_rad,3.760603093086394,4.013965779538146,3.8852197011332694,268,-0.0009194895773292978,0.0009114698130014808,0.0009154796951653893,0.171895272077138,0.0009154796951653893,6.406683497681125e-05
10,delta_theta_rad,4.013965779538146,4.28439824158096,4.146978168211087,274,-0.0009137662992081796,0.0008556319298833512,0.0008846991145457654,0.002317044940928106,0.0008846991145457654,5.945250148716278e-05
10,delta_theta_rad,4.28439824158096,4.573050519273266,4.426372058857601,332,-0.0008860337275648011,0.0006852236647630768,0.000785628696163939,0.15443762725440793,0.000785628696163939,3.517052118499945e-05
10,delta_theta_rad,4.573050519273266,4.88115013419214,4.724589522468395,332,-0.0008946631381579284,0.0005406056018501669,0.0007176343700040477,0.0007192460883753653,0.0007176343700040477,3.399876507668389e-05
10,delta_theta_rad,4.88115013419214,5.2100073095869135,5.042898757493768,359,-0.0007717117821331932,0.0007210403540505604,0.0007463760680918767,0.2097548640196358,0.0007463760680918767,4.9916076423280425e-05
10,delta_theta_rad,5.2100073095869135,5.5610205422295635,5.382653404574644,374,-0.0006581736931581139,0.0006053169247247501,0.000631745308941432,0.1456197796062363,0.000631745308941432,4.08011323335729e-05
10,delta_theta_rad,5.5610205422295635,5.935682549656755,5.745298303029596,429,-0.0006701898051469434,0.0005778998667132606,0.0006240448359301021,0.0006919177042084457,0.0006240448359301021,3.9029923312200935e-05
10,delta_theta_rad,5.935682549656755,6.335586618094767,6.132375635173041,409,-0.0005377476350073118,0.0005854989052088662,0.000561623270108089,0.001686006381658351,0.000561623270108089,2.607737212174172e-05
10,delta_theta_rad,6.335586618094767,6.762433378062416,6.5455314845938695,450,-0.00062422593806571,0.0005372508484347927,0.0005807383932502513,0.1855552657845873,0.0005807383932502513,1.9410468371162244e-05
10,delta_theta_rad,6.762433378062416,7.218038036465943,6.986522836284255,526,-0.0005547404378709875,0.0004668403349037953,0.0005107903863873914,0.17353546831814629,0.0005107903863873914,2.141135941772128e-05
10,delta_theta_rad,7.218038036465943,7.704338095940986,7.457225048387345,508,-0.0005535567668364794,0.000433577347461106,0.0004935670571487927,0.006821164074509859,0.0004935670571487927,2.269011351949207e-05
10,delta_theta_rad,7.704338095940986,8.223401594268893,7.959639827338148,541,-0.0004696505657191596,0.0004498856470075529,0.00045976810636335627,0.17128012446593285,0.00045976810636335627,1.975438789867215e-05
10,delta_theta_rad,8.223401594268893,8.777435898906349,8.49590374031271,606,-0.0004276339774132332,0.00042268214285686166,0.00042515806013504747,0.15872030500534637,0.00042515806013504747,1.9094703399366006e-05
10,delta_theta_rad,8.777435898906349,9.368797094027785,9.068297301185542,655,-0.00042325827198297914,0.0004447507062724465,0.0004340044891277128,0.15581389134633947,0.0004340044891277128,1.887359583228274e-05
10,delta_theta_rad,9.368797094027785,10.0,9.679254668634247,649,-0.0003701852338639122,0.0003471520988344222,0.00035866866634916717,0.15511163677724468,0.00035866866634916717,1.4816147415528528e-05
20,delta_theta_rad,1.0207847284895002,1.0895579424387447,1.0546108801097742,137,-0.0026008719807291756,0.0028316961362718635,0.0027162840585005198,0.0031311363121434553,0.0027162840585005198,0.00022010820578442674
20,delta_theta_rad,1.0895579424387447,1.16296460634556,1.1256630595426649,194,-0.002287562443271649,0.002011265145856863,0.0021494137945642557,0.0036786975388603434,0.0021494137945642557,0.00016856577684006845
20,delta_theta_rad,1.16296460634556,1.2413168891093835,1.201502229416654,195,-0.0019907064683423624,0.0019760206414710306,0.0019833635549066963,0.0023493513083716437,0.0019833635549066963,0.00012590816332629112
20,delta_theta_rad,1.2413168891093835,1.3249479913495736,1.2824509030967925,212,-0.0021477680504881124,0.0022238422616775865,0.0021858051560828496,0.0026776644119243013,0.0021858051560828496,0.00016607477545553713
20,delta_theta_rad,1.3249479913495736,1.4142135623730951,1.368853322604565,248,-0.0019741328530686287,0.0018451124729607657,0.001909622663014697,0.0021296664449358326,0.001909622663014697,0.00011532673843265576
20,delta_theta_rad,1.4142135623730951,1.5094932126074085,1.4610769225401965,280,-0.0018471857515766276,0.0014385756738238688,0.0016428807127002482,0.004704534064939925,0.0016428807127002482,0.00013065662217615347
20,delta_theta_rad,1.5094932126074085,1.6111921279303265,1.5595138926336358,268,-0.001689095578830926,0.00194744788119803,0.001818271730014478,0.001894790225510323,0.001818271730014478,0.00016246504991729465
20,delta_theta_rad,1.6111921279303265,1.7197427927619378,1.664582845569108,308,-0.001556155908038461,0.0017178983732901098,0.0016370271406642854,0.002118890097580136,0.0016370271406642854,8.255567925483647e-05
20,delta_theta_rad,1.7197427927619378,1.8356068292462027,1.7767305971758212,323,-0.0015940417178774723,0.0016984514572820134,0.0016462465875797428,0.0018656131665965975,0.0016462465875797428,8.922537764043613e-05
20,delta_theta_rad,1.8356068292462027,1.9592769603435267,1.8964340665552597,369,-0.0012526259377605587,0.0013491544736720274,0.001300890205716293,0.0016504064095035562,0.001300890205716293,6.32412655068203e-05
20,delta_theta_rad,1.9592769603435267,2.0912791051825472,2.0242023042255415,428,-0.0013667230234201242,0.0012809824992547438,0.001323852761337434,0.0015679330838424092,0.001323852761337434,5.375112007726839e-05
20,delta_theta_rad,2.0912791051825472,2.2321746155818123,2.160578656907711,507,-0.0011864505844899375,0.0012602658068591843,0.0012233581956745609,0.0015279946854901572,0.0012233581956745609,6.089643435512291e-05
20,delta_theta_rad,2.2321746155818123,2.382562663252393,2.306143078159937,601,-0.0011409057091659736,0.0011536456026184916,0.0011472756558922326,0.0012617862806220375,0.0011472756558922326,4.749949983029138e-05
20,delta_theta_rad,2.382562663252393,2.543082787833219,2.4615145946858075,623,-0.0012210524052776962,0.0011100088610816307,0.0011655306331796633,0.0011718920911443493,0.0011655306331796633,4.123345136423018e-05
20,delta_theta_rad,2.543082787833219,2.7144176165949068,2.6273539388049296,764,-0.0008880604726053276,0.0010050129067902635,0.0009465366896977956,0.08890884405026554,0.0009465366896977956,3.690519671735742e-05
20,delta_theta_rad,2.7144176165949068,2.897295767377901,2.8043663582806784,747,-0.0008542312030631139,0.0009064415140081558,0.0008803363585356348,0.001066446443631286,0.0008803363585356348,2.957398861909388e-05
20,delta_theta_rad,2.897295767377901,3.092494947109918,2.993304615454149,813,-0.0008852851838771202,0.0008332208414538545,0.0008592530126654873,0.0009780613246591617,0.0008592530126654873,3.83780262109151e-05
20,delta_theta_rad,3.092494947109918,3.3008452590794746,3.1949721884384226,809,-0.0009138845742079504,0.0008500170638829909,0.0008819508190454706,0.001140369475959559,0.0008819508190454706,3.029113802698254e-05
20,delta_theta_rad,3.3008452590794746,3.5232327330299706,3.4102266879865333,908,-0.0007583381666229916,0.0008598511838335221,0.0008090946752282568,0.000890411623148646,0.0008090946752282568,2.595967881349763e-05
20,delta_theta_rad,3.5232327330299706,3.760603093086394,3.6399835045636864,972,-0.000754252968810385,0.0007667241966210802,0.0007604885827157326,0.004019993303970757,0.0007604885827157326,2.2601609323209302e-05
