theta_deg,quantity,bin_lo,bin_hi,bin_center,n,q16,q84,sigma68,std,sigma,sigma_err
10,delta_z0_um_vs_pt,0.13656510004134292,0.1457658850658613,0.1410905123551341,132,-150.80825209617615,32.659065127372706,91.73365861177443,109.1532467756401,91.73365861177443,8.206410176990603
10,delta_z0_um_vs_pt,0.15558655353821352,0.16606886879575333,0.16074228736061033,121,-186.07454001903534,9.92625206708908,98.00039604306221,96.16304618340564,98.00039604306221,13.327942139322587
10,delta_z0_um_vs_pt,0.16606886879575333,0.17725740789243397,0.17157195928928465,137,-116.76064491271973,27.61901728808876,72.18983110040425,95.33960734203289,72.18983110040425,7.031397310773476
10,delta_z0_um_vs_pt,0.17725740789243397,0.1891997511670182,0.18313125747877984,146,-133.5594356060028,11.317061074078078,72.43824834004045,82.05412386838616,72.43824834004045,6.828150010790504
10,delta_z0_um_vs_pt,0.1891997511670182,0.20194668458304552,0.19546933895656507,133,-104.11237239837646,17.994503229856488,61.05343781411648,73.67010263582033,61.05343781411648,6.088144622861213
10,delta_z0_um_vs_pt,0.20194668458304552,0.21555241570102748,0.20863867260095598,129,-112.66686767339706,14.189215302467325,63.42804148793219,156.43731501700142,63.42804148793219,6.286901034542366
10,delta_z0_um_vs_pt,0.21555241570102748,0.23007480420131324,0.2226952622700671,135,-97.76335626840591,5.4734982177615175,51.618427243083715,221.9916802032977,51.618427243083715,4.717665330848276
10,delta_z0_um_vs_pt,0.23007480420131324,0.2455756079379457,0.23769888496360542,137,-88.4924179315567,11.617966294288635,50.05519211292267,60.911510062257946,50.05519211292267,5.577967158672014
10,delta_z0_um_vs_pt,0.2455756079379457,0.26212074556987675,0.25371334503031184,136,-82.34982192516327,3.5110244527459082,42.93042318895459,68.14959585850744,42.93042318895459,3.9607779833746974
10,delta_z0_um_vs_pt,0.26212074556987675,0.2797805768864049,0.2708067455020917,154,-86.8222925066948,10.945038683712463,48.88366559520363,71.69881286575928,48.88366559520363,5.158093816869574
10,delta_z0_um_vs_pt,0.2797805768864049,0.2986302020189479,0.28905177770870893,142,-82.6828795671463,10.134035162627697,46.408457364887,72.43297373069076,46.408457364887,3.7076348175499803
10,delta_z0_um_vs_pt,0.2986302020189479,0.31874978081157523,0.3085260304046582,159,-76.6021454334259,8.556124344468115,42.57913488894701,54.250239034834955,42.57913488894701,4.07115540338136
10,delta_z0_um_vs_pt,0.31874978081157523,0.34022487370845594,0.3293123197228069,180,-70.43646961450577,7.847929149866101,39.142199382185936,44.826241291600454,39.142199382185936,3.471434404713234
10,delta_z0_um_vs_pt,0.34022487370845594,0.36314680560787804,0.3514990413579666,194,-68.16913217306137,3.6951906792819513,35.93216142617166,101.25516093957114,35.93216142617166,3.257989913798089
10,delta_z0_um_vs_pt,0.36314680560787804,0.38761305423016246,0.3751805464780879,191,-62.52409070730209,9.093835949897763,35.80896332859993,40.827361894577656,35.80896332859993,2.8464283082785884
10,delta_z0_um_vs_pt,0.38761305423016246,0.41372766465104627,0.40045754296167835,202,-46.650042086839676,5.423695333302029,26.036868710070852,39.79328211952226,26.036868710070852,2.4169242106503224
10,delta_z0_um_vs_pt,0.41372766465104627,0.4416016917633753,0.4274375236677431,211,-62.051607668399804,6.320789735764268,34.18619870208204,64.38316815283133,34.18619870208204,3.3522723411273225
10,delta_z0_um_vs_pt,0.4416016917633753,0.47135367254871796,0.45623522355950763,227,-46.52683213353157,3.384854327887297,24.955843230709434,49.0526422760396,24.955843230709434,2.2252839219706675
10,delta_z0_um_vs_pt,0.47135367254871796,0.503110130167283,0.48697310762588564,226,-45.89732363820076,5.22629776969552,25.56181070394814,31.270485646259104,25.56181070394814,2.250872892126804
10,delta_z0_um_vs_pt,0.503110130167283,0.5370061120098274,0.5197818916756247,241,-45.52260339260101,5.389577802270647,25.456090597435832,56.77106914828343,25.456090597435832,2.1101052063487424
10,delta_z0_um_vs_pt,0.5370061120098274,0.5731857639996772,0.5548010982188564,269,-47.01377585530281,3.99722682312131,25.50550133921206,47.47675812557336,25.50550133921206,1.5716611285347593
10,delta_z0_um_vs_pt,0.5731857639996772,0.6118029435871328,0.5921796497999928,249,-38.30158784985542,4.235055726021527,21.268321787938476,195.28769362656402,21.268321787938476,1.3640645880006168
10,delta_z0_um_vs_pt,0.6118029435871328,0.6530218740430739,0.6320765023051708,275,-38.256056010723114,3.973052594810724,21.11455430276692,45.701228071770686,21.11455430276692,1.341465188784443
